Model,Animation,Best Parameters,Train Accuracy,Test Accuracy,Precision,Recall,Specificity,Roc Auc,EER
Naive Bayes,VB_SL_LIT,"{'feature_selection__k': 50, 'scaler': MinMaxScaler()}",1.0,0.5862,0.2937,0.2,0.9724,0.8074,0.1929
KNN,VB_SL_LIT,"{'feature_selection__k': 40, 'knn__metric': 'manhattan', 'knn__n_neighbors': 3, 'knn__weights': 'distance', 'scaler': StandardScaler()}",1.0,0.8364,0.7992,0.981,0.6919,0.915,0.131
Logistic Regression,VB_SL_LIT,"{'feature_selection__k': 40, 'logreg__C': 1, 'scaler': StandardScaler()}",1.0,0.8224,0.8241,0.8,0.8448,0.8992,0.1271
NuSVC,VB_SL_LIT,"{'feature_selection__k': 50, 'nusvc__gamma': 'scale', 'nusvc__kernel': 'rbf', 'nusvc__nu': 0.25, 'scaler': RobustScaler()}",1.0,0.8729,0.8883,0.819,0.9267,0.9465,0.09
Random Forest,VB_SL_LIT,"{'feature_selection__k': 70, 'rf__max_depth': 20, 'rf__max_features': 'sqrt', 'rf__n_estimators': 200, 'scaler': MinMaxScaler()}",1.0,0.7879,0.7832,0.7048,0.871,0.9089,0.1481
SVC,VB_SL_LIT,"{'feature_selection__k': 50, 'scaler': RobustScaler(), 'svc__C': 100, 'svc__gamma': 0.01, 'svc__kernel': 'rbf'}",1.0,0.884,0.8988,0.8286,0.9395,0.9595,0.0762
MLP,VB_SL_LIT,"{'feature_selection__k': 40, 'mlp__activation': 'tanh', 'mlp__alpha': 0.0001, 'mlp__hidden_layer_sizes': (150, 100, 50), 'mlp__learning_rate_init': 0.001, 'mlp__solver': 'adam', 'scaler': RobustScaler()}",1.0,0.7783,0.807,0.6857,0.871,0.8911,0.1562
Naive Bayes,HS_SL_LIT,"{'feature_selection__k': 20, 'scaler': MinMaxScaler()}",1.0,0.6819,0.5148,0.4857,0.8781,0.764,0.2671
KNN,HS_SL_LIT,"{'feature_selection__k': 60, 'knn__metric': 'manhattan', 'knn__n_neighbors': 3, 'knn__weights': 'distance', 'scaler': StandardScaler()}",1.0,0.8155,0.7772,0.9238,0.7071,0.8836,0.161
Logistic Regression,HS_SL_LIT,"{'feature_selection__k': 30, 'logreg__C': 1, 'scaler': StandardScaler()}",1.0,0.8188,0.8153,0.8381,0.7995,0.8579,0.1629
NuSVC,HS_SL_LIT,"{'feature_selection__k': 30, 'nusvc__gamma': 'scale', 'nusvc__kernel': 'rbf', 'nusvc__nu': 0.5, 'scaler': MinMaxScaler()}",1.0,0.8124,0.7822,0.7333,0.8914,0.9059,0.1329
Random Forest,HS_SL_LIT,"{'feature_selection__k': 50, 'rf__max_depth': 30, 'rf__max_features': 'sqrt', 'rf__n_estimators': 200, 'scaler': MinMaxScaler()}",1.0,0.846,0.8297,0.8857,0.8062,0.899,0.1443
SVC,HS_SL_LIT,"{'feature_selection__k': 30, 'scaler': StandardScaler(), 'svc__C': 10, 'svc__gamma': 0.01, 'svc__kernel': 'rbf'}",1.0,0.8386,0.822,0.8476,0.8295,0.8962,0.1376
MLP,HS_SL_LIT,"{'feature_selection__k': 30, 'mlp__activation': 'tanh', 'mlp__alpha': 0.0001, 'mlp__hidden_layer_sizes': (150, 100, 50), 'mlp__learning_rate_init': 0.001, 'mlp__solver': 'adam', 'scaler': StandardScaler()}",1.0,0.819,0.7912,0.8476,0.7905,0.8759,0.1576
Naive Bayes,VB_SL_BIG,"{'feature_selection__k': 40, 'scaler': MinMaxScaler()}",1.0,0.6238,0.4064,0.2857,0.9619,0.8639,0.1667
KNN,VB_SL_BIG,"{'feature_selection__k': 50, 'knn__metric': 'manhattan', 'knn__n_neighbors': 3, 'knn__weights': 'distance', 'scaler': StandardScaler()}",1.0,0.8362,0.8018,0.9714,0.701,0.9238,0.1238
Logistic Regression,VB_SL_BIG,"{'feature_selection__k': 30, 'logreg__C': 10, 'scaler': RobustScaler()}",1.0,0.83,0.8606,0.819,0.841,0.8925,0.1357
NuSVC,VB_SL_BIG,"{'feature_selection__k': 60, 'nusvc__gamma': 'scale', 'nusvc__kernel': 'rbf', 'nusvc__nu': 0.25, 'scaler': MinMaxScaler()}",1.0,0.7964,0.8212,0.6381,0.9548,0.9576,0.0767
Random Forest,VB_SL_BIG,"{'feature_selection__k': 50, 'rf__max_depth': 30, 'rf__max_features': 'sqrt', 'rf__n_estimators': 200, 'scaler': MinMaxScaler()}",1.0,0.851,0.876,0.8667,0.8352,0.9413,0.1086
SVC,VB_SL_BIG,"{'feature_selection__k': 60, 'scaler': MinMaxScaler(), 'svc__C': 100, 'svc__gamma': 0.1, 'svc__kernel': 'rbf'}",1.0,0.8329,0.8993,0.7238,0.9419,0.9606,0.0714
MLP,VB_SL_BIG,"{'feature_selection__k': 30, 'mlp__activation': 'tanh', 'mlp__alpha': 0.0001, 'mlp__hidden_layer_sizes': (100,), 'mlp__learning_rate_init': 0.001, 'mlp__solver': 'adam', 'scaler': MinMaxScaler()}",1.0,0.7943,0.8043,0.7714,0.8171,0.9102,0.1171
Naive Bayes,HS_SL_BIG,"{'feature_selection__k': 40, 'scaler': MinMaxScaler()}",1.0,0.6036,0.3885,0.3143,0.8929,0.7693,0.2152
KNN,HS_SL_BIG,"{'feature_selection__k': 40, 'knn__metric': 'manhattan', 'knn__n_neighbors': 3, 'knn__weights': 'distance', 'scaler': StandardScaler()}",1.0,0.8067,0.784,0.9238,0.6895,0.8888,0.1605
Logistic Regression,HS_SL_BIG,"{'feature_selection__k': 60, 'logreg__C': 1, 'scaler': RobustScaler()}",1.0,0.7895,0.8007,0.7619,0.8171,0.8329,0.1938
